id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33292,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0031,1915-01-01,Waldorf Astoria,,,complete,3,17,1915.0
33293,The Biltmore,The Biltmore,,,,,,,1915-0032,1915-01-01,The Biltmore,,,under review,10,18,1915.0
33294,Hotel Astor,Hotel Astor,,,,,,,1915-0033,1915-01-01,Hotel Astor,,,complete,3,17,1915.0
33295,Harvard Club,Harvard Club,,,,,,,1915-0034,1915-01-01,Harvard Club,,,complete,2,12,1915.0
33296,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0035,1915-01-01,Waldorf Astoria,,,under review,3,38,1915.0
33297,Delmonicos,Delmonicos,,,,,,,1915-0036,1915-01-01,Delmonicos,Dollars,$,under review,2,35,1915.0
33298,Fraunces Tavern,Fraunces Tavern,,,,,,,1915-0037,1915-01-01,Fraunces Tavern,Dollars,$,under review,2,270,1915.0
33299,Harvard Hall,Harvard Hall,,,,,,,1915-0038,1915-01-01,Harvard Hall,,,under review,17,17,1915.0
33300,Metropolitan Club,Metropolitan Club,,,,,,,1915-0039,1915-01-01,Metropolitan Club,,,complete,4,20,1915.0
33301,The New Willard,The New Willard,,,,,,,1915-0040,1915-01-01,The New Willard,,,under review,23,23,1915.0
33302,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0041,1915-01-01,Waldorf Astoria,Dollars,$,under review,2,39,1915.0
33303,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0042,1915-01-01,Waldorf Astoria,,,complete,9,23,1915.0
33304,Rector's,Rector's,,,,,,,1915-0043,1915-01-01,Rector's,Dollars,$,complete,3,73,1915.0
33305,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0044,1915-01-01,Waldorf Astoria,,,complete,7,22,1915.0
33306,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0045,1915-01-01,Waldorf Astoria,,,complete,7,36,1915.0
33307,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0046,1915-01-01,Restaurant name and/or location not given],,,complete,3,10,1915.0
33308,Sherry's,Sherry's,,,,,,,1915-0047,1915-01-01,Sherry's,,,under review,9,10,1915.0
33309,The Plaza,The Plaza,,,,,,,1915-0048,1915-01-01,The Plaza,,,under review,1,10,1915.0
33310,Long Island Business College,Long Island Business College,,,,,,,1915-0049,1915-01-01,Long Island Business College,,,under review,3,19,1915.0
33311,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0050,1915-01-01,Waldorf Astoria,,,complete,4,22,1915.0
33314,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0053,1915-01-01,Waldorf Astoria,,,complete,5,15,1915.0
33315,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0054,1915-01-01,Waldorf Astoria,,,under review,4,21,1915.0
33316,Bensonhurst Yacht Club,Bensonhurst Yacht Club,,,,,,,1915-0055,1915-01-01,Bensonhurst Yacht Club,,,complete,7,22,1915.0
33318,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0057,1915-01-01,Waldorf Astoria,,,under review,7,17,1915.0
33319,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0058,1915-01-01,Waldorf Astoria,,,complete,4,21,1915.0
33322,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0061,1915-01-01,Waldorf Astoria,,,under review,7,66,1915.0
33323,McKee's Restaurant,McKee's Restaurant,,,,,,,1915-0062,1915-01-01,McKee's Restaurant,Dollars,$,under review,4,7,1915.0
33324,Delmonicos,Delmonicos,,,,,,,1915-0063,1915-01-01,Delmonicos,,,under review,1,6,1915.0
33325,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0064,1915-01-01,Waldorf Astoria,,,complete,4,17,1915.0
33326,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0065,1915-01-01,Waldorf Astoria,,,complete,6,13,1915.0
33327,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0066,1915-01-01,Waldorf Astoria,,,under review,9,24,1915.0
33328,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0067,1915-01-01,Waldorf Astoria,,,under review,4,22,1915.0
33329,Union Club,Union Club,,,,,,,1915-0068,1915-01-01,Union Club,,,under review,2,22,1915.0
33330,J.B. Greenhut Co.,J.B. Greenhut Co.,,,,,,,1915-0069,1915-01-01,J.B. Greenhut Co.,Dollars,$,under review,5,150,1915.0
